1	12741	13741	12741-13741	3008	2.567	6.094	10.394	16.374	20.945
2	13461	13493	13461-13493	2979	4.169	7.619	10.374	13.265	16.586
3	13481	561478	13481-561478	1085	3.479	8.519	14.887	26.557	35.191
4	13481	561485	13481-561485	512	2.054	5.613	9.663	16.824	22.394
5	13481	561486	13481-561486	411,5	1.548	4.020	7.413	14.310	19.832
6	13481	561488	13481-561488	737,6	3.183	8.797	15.717	33.525	34.572
7	13493	13461	13493-13461	2979	4.169	7.619	10.374	13.265	16.586
8	13493	14041	13493-14041	2230	2.955	8.173	14.520	22.039	29.858
9	13493	561479	13493-561479	133,1	443	1.692	3.688	6.312	9.615
10	13571	13661	13571-13661	336,9	3.266	8.645	15.309	36.519	33.588
11	13571	13681	13571-13681	378,2	3.567	9.387	16.697	39.453	35.998
12	13571	561489	13571-561489	267,1	2.530	6.922	13.191	31.606	31.227
13	13571	561502	13571-561502	409,5	3.468	9.619	17.507	42.932	37.903
14	13591	13693	13591-13693	239,9	2.547	7.427	14.548	32.021	36.140
15	13591	14401	13591-14401	1300	4.359	10.566	18.594	34.299	40.546
16	13591	14501	13591-14501	285,4	2.489	7.336	15.087	31.460	38.201
17	13591	561488	13591-561488	1050	5.725	13.519	23.007	47.502	48.181
18	13651	13652	13651-13652	310,9	2.783	7.225	12.878	23.703	24.833
19	13651	13741	13651-13741	697,2	3.406	6.878	11.040	20.019	21.281
20	13651	561491	13651-561491	702,1	1.492	4.621	9.325	19.181	20.603
21	13651	561498	13651-561498	300,8	1.995	5.428	10.387	21.179	22.256
22	13652	13651	13652-13651	310,9	2.783	7.225	12.878	23.703	24.833
23	13652	13742	13652-13742	686,2	4.349	10.184	15.119	24.969	26.107
24	13652	13751	13652-13751	506,2	4.029	10.941	18.694	32.097	31.600
25	13652	561500	13652-561500	307,6	3.246	8.689	14.659	26.790	27.346
26	13661	13571	13661-13571	336,9	3.266	8.645	15.309	36.519	33.588
27	13661	561490	13661-561490	284,3	2.128	6.070	11.977	29.093	28.707
28	13661	561500	13661-561500	396,2	3.630	8.772	15.155	31.918	31.866
29	13661	561503	13661-561503	459,3	3.852	10.052	17.538	38.850	37.208
30	13681	13571	13681-13571	378,2	3.567	9.387	16.697	39.453	35.998
31	13681	13693	13681-13693	973,2	6.699	15.111	24.818	51.323	50.489
32	13681	561488	13681-561488	238,9	2.594	7.410	14.079	34.113	32.300
33	13681	561501	13681-561501	411	3.441	9.625	17.498	42.187	38.164
34	13693	13591	13693-13591	239,9	2.547	7.427	14.548	32.021	36.140
35	13693	13681	13693-13681	973,2	6.699	15.111	24.818	51.323	50.489
36	13693	14601	13693-14601	282,1	2.992	8.651	16.980	36.938	40.025
37	13693	14701	13693-14701	582,7	4.247	10.949	19.241	42.660	43.111
38	13741	12741	13741-12741	3008	2.567	6.094	10.394	16.374	20.945
39	13741	13651	13741-13651	697,2	3.406	6.878	11.040	20.019	21.281
40	13741	13742	13741-13742	411,6	1.882	4.586	8.215	14.806	18.236
41	13742	13652	13742-13652	686,2	4.349	10.184	15.119	24.969	26.107
42	13742	13741	13742-13741	411,6	1.882	4.586	8.215	14.806	18.236
43	13742	13751	13742-13751	626,4	3.587	8.915	15.704	28.861	30.455
44	13742	13961	13742-13961	1121	3.055	7.544	13.528	23.286	27.697
45	13751	13652	13751-13652	506,2	4.029	10.941	18.694	32.097	31.600
